S002VS,S003,S007,S017,S018,S020,C006,E069_06,E069_07,E069_17,G006,A009
3,840,8400320226,0.57024,0.648508,1995,10,1,2,1,1,3
3,840,8400320227,0.57024,0.648508,1995,9,2,3,3,1,1
3,840,8400320228,0.64027,0.648508,1995,5,1,4,4,1,1
3,840,8400320229,1.47062,0.648508,1995,6,4,4,4,2,1
3,840,8400320230,1.53565,0.648508,1995,9,2,2,4,1,2
3,840,8400320231,1.76075,0.648508,1995,10,3,3,4,1,1
3,840,8400320232,0.64527,0.648508,1995,9,1,2,2,1,2
3,840,8400320233,0.77533,0.648508,1995,6,2,3,3,1,1
3,840,8400320234,0.76032,0.648508,1995,4,2,2,2,1,3
3,840,8400320235,0.64527,0.648508,1995,10,2,2,2,1,3
3,840,8400320236,0.53523,0.648508,1995,9,2,3,3,1,1
3,840,8400320237,0.77533,0.648508,1995,10,2,3,3,1,3
3,840,8400320238,0.50021,0.648508,1995,1,2,3,3,1,3
3,840,8400320239,0.81535,0.648508,1995,10,2,2,2,1,2
3,840,8400320240,2.76117,0.648508,1995,7,2,2,2,1,1
3,840,8400320241,1.57067,0.648508,1995,7,3,3,3,1,2
3,840,8400320242,0.54023,0.648508,1995,10,3,4,3,1,1
3,840,8400320243,0.53523,0.648508,1995,3,2,1,1,1,3
3,840,8400320244,0.52522,0.648508,1995,1,-1,-1,4,2,2
3,840,8400320245,0.59525,0.648508,1995,1,2,-1,3,1,4
3,840,8400320246,0.83535,0.648508,1995,9,2,3,3,2,3
3,840,8400320247,1.09547,0.648508,1995,6,3,3,3,1,2
3,840,8400320248,0.64027,0.648508,1995,3,1,3,3,1,2
3,840,8400320249,0.72031,0.648508,1995,10,1,2,3,1,1
3,840,8400320250,0.87037,0.648508,1995,7,1,3,2,1,1
3,840,8400320251,0.60025,0.648508,1995,8,2,2,2,1,1
3,840,8400320252,0.87037,0.648508,1995,7,2,2,3,1,1
3,840,8400320253,0.6953,0.648508,1995,1,3,3,-1,1,2
3,840,8400320254,0.61026,0.648508,1995,9,2,2,3,1,1
3,840,8400320255,1.33557,0.648508,1995,3,2,2,2,1,1
3,840,8400320256,0.61026,0.648508,1995,6,-1,2,3,1,1
3,840,8400320257,2.16092,0.648508,1995,9,2,2,2,1,1
3,840,8400320258,0.72031,0.648508,1995,5,2,2,2,1,1
3,840,8400320259,0.55023,0.648508,1995,8,1,3,2,1,2
3,840,8400320260,1.24053,0.648508,1995,7,2,3,1,1,3
3,840,8400320261,0.90538,0.648508,1995,5,3,3,3,1,2
3,840,8400320262,0.55023,0.648508,1995,1,2,3,3,1,3
3,840,8400320263,0.55023,0.648508,1995,7,2,3,2,1,2
3,840,8400320264,0.97041,0.648508,1995,5,2,3,3,1,1
3,840,8400320265,1.49564,0.648508,1995,2,3,3,4,1,4
3,840,8400320266,0.74532,0.648508,1995,8,3,3,3,1,2
3,840,8400320267,0.55023,0.648508,1995,4,2,3,3,1,3
3,840,8400320268,1.05545,0.648508,1995,5,2,3,3,1,2
3,840,8400320269,0.57524,0.648508,1995,2,1,2,2,1,3
3,840,8400320270,1.32556,0.648508,1995,6,2,2,2,1,3
3,840,8400320271,0.61026,0.648508,1995,8,3,2,3,1,1
3,840,8400320272,0.92039,0.648508,1995,7,2,3,3,1,2
3,840,8400320273,0.58025,0.648508,1995,5,2,4,3,1,2
3,840,8400320274,0.52522,0.648508,1995,3,-1,2,1,1,2
3,840,8400320275,0.53023,0.648508,1995,7,2,3,3,2,1
3,840,8400320276,1.52565,0.648508,1995,5,3,3,2,1,2
3,840,8400320277,0.60025,0.648508,1995,5,3,2,1,1,2
3,840,8400320278,0.69029,0.648508,1995,4,-1,3,4,1,2
3,840,8400320279,0.52522,0.648508,1995,5,2,4,3,1,1
3,840,8400320280,0.57024,0.648508,1995,8,1,4,4,1,1
3,840,8400320281,0.7103,0.648508,1995,8,2,3,2,2,1
3,840,8400320282,1.49564,0.648508,1995,8,2,2,3,2,3
3,840,8400320283,1.63569,0.648508,1995,9,2,2,3,3,1
3,840,8400320284,2.62111,0.648508,1995,10,2,3,3,2,3
3,840,8400320285,2.62111,0.648508,1995,10,3,3,3,2,1
3,840,8400320286,0.81034,0.648508,1995,6,3,3,3,1,2
3,840,8400320287,0.65528,0.648508,1995,-1,3,3,3,2,1
3,840,8400320288,0.68529,0.648508,1995,9,1,1,3,1,2
3,840,8400320289,2.44104,0.648508,1995,1,3,3,3,1,1
3,840,8400320290,0.53023,0.648508,1995,7,1,2,2,1,2
3,840,8400320291,1.86579,0.648508,1995,6,4,4,4,1,1
3,840,8400320292,1.35057,0.648508,1995,3,3,3,3,2,2
3,840,8400320293,0.67529,0.648508,1995,4,3,3,3,1,1
3,840,8400320294,2.40102,0.648508,1995,7,1,2,3,1,2
3,840,8400320295,0.97041,0.648508,1995,10,2,3,2,1,4
3,840,8400320296,0.97041,0.648508,1995,9,3,3,3,1,2
3,840,8400320297,0.59025,0.648508,1995,5,2,1,2,-1,3
3,840,8400320298,0.62527,0.648508,1995,4,2,2,3,1,2
3,840,8400320299,0.73031,0.648508,1995,7,3,4,3,1,2
3,840,8400320300,0.72531,0.648508,1995,9,2,3,2,1,2
3,840,8400320301,1.22552,0.648508,1995,8,3,3,3,1,1
3,840,8400320302,1.13548,0.648508,1995,8,2,2,3,1,1
3,840,8400320303,0.90038,0.648508,1995,8,2,2,4,1,1
3,840,8400320304,0.90038,0.648508,1995,8,2,2,2,1,1
3,840,8400320305,1.09046,0.648508,1995,6,2,1,-1,1,1
3,840,8400320306,1.8808,0.648508,1995,10,1,3,3,1,1
3,840,8400320307,0.62026,0.648508,1995,10,2,3,3,1,2
3,840,8400320308,1.43061,0.648508,1995,7,2,3,2,1,1
3,840,8400320309,1.14048,0.648508,1995,1,2,3,4,1,2
3,840,8400320310,0.53023,0.648508,1995,3,2,3,2,1,3
3,840,8400320311,1.05045,0.648508,1995,5,2,2,2,1,4
3,840,8400320312,0.86537,0.648508,1995,8,3,4,4,1,2
3,840,8400320313,0.86537,0.648508,1995,6,2,2,2,1,4
3,840,8400320314,2.01085,0.648508,1995,4,3,4,4,1,1
3,840,8400320315,0.88037,0.648508,1995,6,2,3,3,1,3
3,840,8400320316,0.7153,0.648508,1995,5,3,3,-1,1,3
3,840,8400320317,0.53023,0.648508,1995,6,2,3,3,1,4
3,840,8400320318,0.68029,0.648508,1995,10,2,3,3,1,1
3,840,8400320319,1.63069,0.648508,1995,8,2,-1,2,1,1
3,840,8400320320,0.87037,0.648508,1995,7,-1,2,3,1,3
3,840,8400320321,0.87037,0.648508,1995,10,1,3,3,1,1
3,840,8400320322,1.1855,0.648508,1995,4,3,3,3,2,3
3,840,8400320323,0.53023,0.648508,1995,7,2,4,4,1,1
3,840,8400320324,1.63069,0.648508,1995,5,2,3,3,1,2
3,840,8400320325,0.82535,0.648508,1995,6,2,3,2,1,1
3,840,8400320326,1.51564,0.648508,1995,6,4,4,4,1,2
3,840,8400320327,0.53523,0.648508,1995,7,4,2,1,1,1
3,840,8400320328,0.65028,0.648508,1995,9,3,3,2,1,1
3,840,8400320329,0.53023,0.648508,1995,9,3,2,3,1,2
3,840,8400320330,1.13048,0.648508,1995,8,2,4,3,2,1
3,840,8400320331,0.87037,0.648508,1995,9,2,3,4,2,2
3,840,8400320332,0.81535,0.648508,1995,10,2,2,2,1,2
3,840,8400320333,0.7003,0.648508,1995,5,1,3,3,1,3
3,840,8400320334,2.76117,0.648508,1995,10,2,3,2,1,1
3,840,8400320335,0.56024,0.648508,1995,8,2,4,3,1,1
3,840,8400320336,1.1855,0.648508,1995,4,2,3,3,1,1
3,840,8400320337,0.81535,0.648508,1995,7,2,3,2,1,2
3,840,8400320338,0.90038,0.648508,1995,10,2,3,3,1,1
3,840,8400320339,0.65028,0.648508,1995,7,2,3,2,1,2
3,840,8400320340,0.7103,0.648508,1995,7,2,3,2,1,2
3,840,8400320341,0.64027,0.648508,1995,5,1,2,2,1,4
3,840,8400320342,0.53023,0.648508,1995,8,2,2,2,1,2
3,840,8400320343,0.50021,0.648508,1995,7,2,2,2,1,1
3,840,8400320344,0.56024,0.648508,1995,5,3,3,4,1,2
3,840,8400320345,0.9454,0.648508,1995,7,3,2,3,2,3
3,840,8400320346,1.19051,0.648508,1995,5,4,3,3,1,1
3,840,8400320347,0.77533,0.648508,1995,10,2,3,3,1,1
3,840,8400320348,2.37101,0.648508,1995,8,2,2,2,1,2
3,840,8400320349,0.50021,0.648508,1995,7,2,3,3,1,2
3,840,8400320350,0.87037,0.648508,1995,10,2,2,2,3,1
3,840,8400320351,1.28555,0.648508,1995,7,2,3,3,1,2
3,840,8400320352,0.87037,0.648508,1995,8,3,3,2,1,2
3,840,8400320353,0.9454,0.648508,1995,7,2,2,2,1,2
3,840,8400320354,0.56024,0.648508,1995,8,-1,3,3,1,1
3,840,8400320355,0.56024,0.648508,1995,10,3,3,3,1,3
3,840,8400320356,0.73031,0.648508,1995,3,2,1,4,1,1
3,840,8400320357,2.20093,0.648508,1995,4,3,3,2,1,2
3,840,8400320358,0.65528,0.648508,1995,5,3,4,3,1,3
3,840,8400320359,0.97541,0.648508,1995,8,2,2,3,1,3
3,840,8400320360,0.97541,0.648508,1995,6,4,4,3,1,2
3,840,8400320361,2.14091,0.648508,1995,8,1,4,4,1,3
3,840,8400320362,2.361,0.648508,1995,6,2,3,4,2,3
3,840,8400320363,0.59025,0.648508,1995,5,3,2,4,2,2
3,840,8400320364,2.94125,0.648508,1995,5,2,3,4,1,2
3,840,8400320365,1.16049,0.648508,1995,6,3,3,3,3,1
3,840,8400320366,1.52565,0.648508,1995,9,1,2,2,1,1
3,840,8400320367,0.60025,0.648508,1995,10,2,3,3,1,2
3,840,8400320368,1.4156,0.648508,1995,8,2,3,3,1,2
3,840,8400320369,4.22179,0.648508,1995,6,3,2,3,1,2
3,840,8400320370,2.44104,0.648508,1995,2,2,3,2,1,4
3,840,8400320371,0.63027,0.648508,1995,8,2,2,3,1,3
3,840,8400320372,1.4156,0.648508,1995,6,2,4,2,1,2
3,840,8400320373,0.78033,0.648508,1995,7,3,2,3,1,2
3,840,8400320374,0.90038,0.648508,1995,5,2,3,2,1,3
3,840,8400320375,0.81034,0.648508,1995,7,2,2,3,2,2
3,840,8400320376,0.53023,0.648508,1995,3,2,3,2,1,2
3,840,8400320377,0.50021,0.648508,1995,3,2,3,2,2,2
3,840,8400320378,0.53023,0.648508,1995,10,2,3,-1,-1,2
3,840,8400320379,1.05545,0.648508,1995,2,3,-1,2,2,2
3,840,8400320380,2.94125,0.648508,1995,7,2,3,3,2,2
3,840,8400320381,0.50021,0.648508,1995,3,2,2,2,-3,3
3,840,8400320382,1.36558,0.648508,1995,6,2,4,3,1,2
3,840,8400320383,0.69029,0.648508,1995,7,4,3,3,1,2
3,840,8400320384,0.75032,0.648508,1995,5,2,3,3,1,2
3,840,8400320385,1.1855,0.648508,1995,5,2,3,3,2,3
3,840,8400320386,1.90081,0.648508,1995,8,3,4,4,1,2
3,840,8400320387,2.40102,0.648508,1995,8,2,2,2,1,1
3,840,8400320388,1.51564,0.648508,1995,3,2,-1,3,1,3
3,840,8400320389,1.49063,0.648508,1995,9,2,2,2,1,1
3,840,8400320390,0.80034,0.648508,1995,7,2,3,3,1,2
3,840,8400320391,1.31056,0.648508,1995,10,2,3,2,1,1
3,840,8400320392,1.04044,0.648508,1995,4,2,3,3,2,2
3,840,8400320393,0.56024,0.648508,1995,10,3,2,3,1,3
3,840,8400320394,1.1855,0.648508,1995,7,1,4,3,1,1
3,840,8400320395,0.73031,0.648508,1995,6,2,2,2,1,2
3,840,8400320396,2.32599,0.648508,1995,10,3,3,3,1,1
3,840,8400320397,1.04544,0.648508,1995,6,2,3,2,1,1
3,840,8400320398,0.97541,0.648508,1995,10,2,1,3,1,1
3,840,8400320399,0.97541,0.648508,1995,8,2,2,2,1,1
3,840,8400320400,0.90038,0.648508,1995,8,2,1,3,1,2
