release_year,release_month,release_year_month,relative_relevance_health,relative_relevance_justice,relative_relevance_money,relative_relevance_police,relative_relevance_politics
2007,5,2007-05,0.0,0.022589865819768816,0.0,0.0,0.0
2007,6,2007-06,0.0,0.0,0.0,0.0,0.0
2007,7,2007-07,0.0,0.0,0.0,0.0,0.0
2007,8,2007-08,0.00955677092072565,0.017057208497866225,0.10922499069695095,0.0,0.0
2007,9,2007-09,0.011134194972221626,0.02593303336767305,0.015933737379559,0.00549471027822025,0.0
2007,10,2007-10,0.027796229031731352,0.0,0.02896801360512505,0.0,0.0
2007,11,2007-11,0.00431238437144546,0.0,0.0,0.0030018027845906798,0.0
2007,12,2007-12,0.0,0.0448571969765061,0.0,0.0,0.0
2008,1,2008-01,0.0,0.0,0.0,0.0,0.0
2008,2,2008-02,0.02494392521900485,0.020312269796683224,0.0060790739854703,0.024487066452537624,0.00244870664525375
2008,3,2008-03,0.0297954599293714,0.0,0.01671080772431646,0.0,0.0
2008,4,2008-04,0.04423024165221366,0.036987561027907616,0.024379264981630944,0.004017003533909871,0.0
2008,5,2008-05,0.0,0.0162282641819129,0.0695782381691057,0.0034384566099076,0.0
2008,6,2008-06,0.02898594850049724,0.024337359942728412,0.00878225184419515,0.012101707182716975,0.0012101707182716876
2008,7,2008-07,0.0533847329042963,0.0,0.0251710866112802,0.0,0.0
2008,8,2008-08,0.033953204241955554,0.0146003554569394,0.0,0.003093534105999275,0.0
2008,9,2008-09,0.013112441638186194,0.0069948780199471875,0.009846484352345143,0.0,0.0
2008,10,2008-10,0.05331197225124886,0.01127741551699348,0.0,0.0,0.0
2008,11,2008-11,0.030651511858187347,0.0,0.0,0.0,0.0
2008,12,2008-12,0.026531915904210224,0.01195837967838515,0.04572059230272865,0.002533750325235425,0.0
2009,1,2009-01,0.029276836797551886,0.007045008851108283,0.024087510773527915,0.0014927016826574498,0.0
2009,2,2009-02,0.0276005560686818,0.0,0.0565065369675891,0.0,0.0
2009,3,2009-03,0.0216368321025122,0.01103615065690766,0.0,0.00233834775850362,0.0
2009,4,2009-04,0.0742802981305803,0.02910882121732017,0.0,0.0,0.0
2009,5,2009-05,0.00593617826066275,0.013828983932790525,0.0,0.00645303238317355,0.0
2009,6,2009-06,0.05891786744543739,0.0,0.02312476407787488,0.0,0.0
2009,7,2009-07,0.0,0.0,0.0,0.0,0.0
2009,8,2009-08,0.017394361411273086,0.017632609645802943,0.015723189015585715,0.0,0.0
2009,9,2009-09,0.013414864370193683,0.0,0.010433703925669943,0.0,0.019533634568226644
2009,10,2009-10,0.030634710473728604,0.0,0.0,0.0,0.0
2009,11,2009-11,0.019758919080495884,0.020997631872957445,0.0450715691182303,0.0,0.0
2009,12,2009-12,0.007680740846668919,0.0,0.0,0.0246258506087991,0.0
2010,1,2010-01,0.06606058105964566,0.0,0.0,0.0,0.0
2010,2,2010-02,0.0271980871767056,0.0,0.0668330181942421,0.0,0.0
2010,3,2010-03,0.0836702113971188,0.0,0.0,0.0,0.0
2010,4,2010-04,0.024830434797304065,0.0153834566249437,0.0103544793310013,0.0032594581603014997,0.0
2010,5,2010-05,0.046270312687352905,0.0,0.0,0.0,0.0
2010,6,2010-06,0.017634577892485702,0.0060492835608316,0.02409829786525974,0.0,0.0
2010,7,2010-07,0.0281406772990558,0.007891904925842371,0.0,0.0021512801896397,0.0
2010,8,2010-08,0.02000449294784038,0.01280007576968022,0.029620451110385148,0.00109122100158568,0.0
2010,9,2010-09,0.0,0.0,0.0,0.0,0.0
2010,10,2010-10,0.03679610513141692,0.0,0.00524245947663804,0.0,0.0
2010,11,2010-11,0.0,0.0131185344377452,0.013422256493776265,0.0013131944163671334,0.0
2010,12,2010-12,0.015069585013038251,0.01828613803909545,0.0317455409022612,0.0,0.0
2011,1,2011-01,0.06083060689752984,0.0,0.0677071099923722,0.0,0.0
2011,2,2011-02,0.005352521800023771,0.017637738551803027,0.0055486259624705995,0.0017179551696455714,0.0
2011,3,2011-03,0.025441483346873173,0.02231246362682267,0.021267524648224956,0.0,0.0
2011,5,2011-05,0.02282101524156199,0.01839257888723586,0.02233970479615041,0.00061352927415332,0.0
2011,6,2011-06,0.0261236320477938,0.011416115472199213,0.015477357647757857,0.0014224927990694,0.0
2011,7,2011-07,0.0,0.022397720037598,0.0,0.0101135631814069,0.0
2011,8,2011-08,0.03439468804455761,0.001985079901299767,0.0117711810176472,0.0,0.0
2011,9,2011-09,0.023892002736893125,0.00585407750273045,0.0011880991310875375,0.0,0.0
2011,10,2011-10,0.0,0.01321019603374985,0.00604024290440515,0.0,0.0
2011,11,2011-11,0.0,0.0444425412548968,0.0,0.0,0.0
2011,12,2011-12,0.0,0.0,0.0708561807080647,0.0,0.0
2012,1,2012-01,0.0310751774846477,0.02686170433120145,0.1096025320355254,0.0,0.0
2012,2,2012-02,0.0238629939940192,0.014348786343978213,0.01581439430665923,0.0,0.0
2012,3,2012-03,0.014680889007022925,0.015600956950884825,0.005411290155468075,0.0,0.0
2012,4,2012-04,0.011235465404220343,0.024991121890531914,0.0280775660440227,0.0012489724564704286,0.0
2012,5,2012-05,0.007309311059640425,0.0,0.0,0.0,0.0
